parent_id,formula_x,strain_percent,mp_id,formula_y,formation_energy_per_atom,magnetic_type,magnetic_moment,pred_formE,pred_magMom
mp-861724,Ac2AgIr,-3,mp-861724,Ac2AgIr,-0.413285237500005,NM,1.42e-05,-0.35547837440294955,-0.008583872210480528
mp-861724,Ac2AgIr,0,mp-861724,Ac2AgIr,-0.413285237500005,NM,1.42e-05,-0.41488238353330337,-0.005618888537473858
mp-861724,Ac2AgIr,3,mp-861724,Ac2AgIr,-0.413285237500005,NM,1.42e-05,-0.41348319256988253,0.08138301651346364
mp-1183076,Ac2AgPb,-3,mp-1183076,Ac2AgPb,-0.480278042500003,NM,0.9106046,-0.47840802596884335,0.8365623325515029
mp-1183076,Ac2AgPb,0,mp-1183076,Ac2AgPb,-0.480278042500003,NM,0.9106046,-0.4260603307180562,0.760232137191012
mp-1183076,Ac2AgPb,3,mp-1183076,Ac2AgPb,-0.480278042500003,NM,0.9106046,-0.430180229625901,0.7861783162352155
mp-1207297,Ac2Br2O,-3,mp-1207297,Ac2Br2O,-1.460072974,NM,0.0085426,-1.834403582790101,0.01987016315956479
mp-1207297,Ac2Br2O,0,mp-1207297,Ac2Br2O,-1.460072974,NM,0.0085426,-1.5389770957541153,0.004627378204943607
mp-1207297,Ac2Br2O,3,mp-1207297,Ac2Br2O,-1.460072974,NM,0.0085426,-1.5169338441146638,0.014268663621667262
mp-1183068,Ac2CdGa,-3,mp-1183068,Ac2CdGa,-0.402831248749997,NM,4.7300000000000025e-05,-0.36885366040181217,0.10891211020401259
mp-1183068,Ac2CdGa,0,mp-1183068,Ac2CdGa,-0.402831248749997,NM,4.7300000000000025e-05,-0.4062993159577296,0.0076156817470010504
mp-1183068,Ac2CdGa,3,mp-1183068,Ac2CdGa,-0.402831248749997,NM,4.7300000000000025e-05,-0.4472206771752411,0.0217708746801284
mp-1183063,Ac2CdGe,-3,mp-1183063,Ac2CdGe,-0.46480851375,NM,4e-06,-0.47210263163791893,0.024114678352714407
mp-1183063,Ac2CdGe,0,mp-1183063,Ac2CdGe,-0.46480851375,NM,4e-06,-0.4655048804783537,-0.004180169424937167
mp-1183063,Ac2CdGe,3,mp-1183063,Ac2CdGe,-0.46480851375,NM,4e-06,-0.49360834538818904,0.000989958911827342
mp-1183086,Ac2CdHg,-3,mp-1183086,Ac2CdHg,-0.433682350625005,NM,0.6282017,-0.43320500378030297,0.5898658628775865
mp-1183086,Ac2CdHg,0,mp-1183086,Ac2CdHg,-0.433682350625005,NM,0.6282017,-0.43290493998173346,0.5892852641627431
mp-1183086,Ac2CdHg,3,mp-1183086,Ac2CdHg,-0.433682350625005,NM,0.6282017,-0.4753860043777306,0.5972157750538526
mp-862319,Ac2CdSn,-3,mp-862319,Ac2CdSn,-0.5426539487500001,NM,1.94e-05,-0.544338831038895,0.29766425949156367
mp-862319,Ac2CdSn,0,mp-862319,Ac2CdSn,-0.5426539487500001,NM,1.94e-05,-0.42001870442195005,0.164436893788731
mp-862319,Ac2CdSn,3,mp-862319,Ac2CdSn,-0.5426539487500001,NM,1.94e-05,-0.48838835472208697,0.17544441664393148
mp-1207291,Ac2Cl2O,-3,mp-1207291,Ac2Cl2O,-1.622560442000001,NM,0.0043338,-2.043661217357877,-0.015141469470943419
mp-1207291,Ac2Cl2O,0,mp-1207291,Ac2Cl2O,-1.622560442000001,NM,0.0043338,-1.9518130490655299,0.029232057228583155
mp-1207291,Ac2Cl2O,3,mp-1207291,Ac2Cl2O,-1.622560442000001,NM,0.0043338,-1.6631043496775268,-0.020919136161568472
mp-862786,Ac2CuGe,-3,mp-862786,Ac2CuGe,-0.386251328749999,NM,0.0010705,-0.4127329902169306,-0.008986538742845857
mp-862786,Ac2CuGe,0,mp-862786,Ac2CuGe,-0.386251328749999,NM,0.0010705,-0.39717184447613124,-0.005284663347885007
mp-862786,Ac2CuGe,3,mp-862786,Ac2CuGe,-0.386251328749999,NM,0.0010705,-0.3452274431629331,-0.005339395938312892
mp-861883,Ac2CuIr,-3,mp-861883,Ac2CuIr,-0.342298746250001,NM,0.0001685,-0.3841295572111876,0.026084114206515036
mp-861883,Ac2CuIr,0,mp-861883,Ac2CuIr,-0.342298746250001,NM,0.0001685,-0.3317534223954444,-0.004331604906218073
mp-861883,Ac2CuIr,3,mp-861883,Ac2CuIr,-0.342298746250001,NM,0.0001685,-0.310905867927771,0.019365394473355443
mp-1183120,Ac2CuRu,-3,mp-1183120,Ac2CuRu,-0.016838317499995,NM,0.00012,-0.42028012735666026,-0.06999481890086545
mp-1183120,Ac2CuRu,0,mp-1183120,Ac2CuRu,-0.016838317499995,NM,0.00012,-0.3396306516581151,-0.08805959371938668
mp-1183120,Ac2CuRu,3,mp-1183120,Ac2CuRu,-0.016838317499995,NM,0.00012,-0.0935713940624112,-0.030134467782075354
mp-867122,Ac2CuSi,-3,mp-867122,Ac2CuSi,-0.271164717499999,NM,5.43e-05,-0.22692206682141264,0.01723778705495944
